accelerometer,inclinometer,,,imu,,,,
gyroscope,gyrometer,,,imu,,,,
magnetometer,,,,imu,,,,
imu,inertial motion unit,position tracker,,,,,,
bend,flex,,,,,,,
biosensing,biocontrol,biosignal,,,,,,
button,switch,,,,,,,
pot,potentiometer,position sensor,,,,,,
capacitive,capacitor,touch,,,,,,
conductive,fabric,textile,,,,,,
camera,video,,,mocap,kinect,ir camera,leap motion,eyetrack
eeg,electroencephalogram,,,,,,,
mmg,mechanomyogram,mechanomyography,,,,,,
emg,electromyography,,,,,,,
fsr,force sensing resistor,,,,,,,
gps,global positioning system,,,,,,,
hall,,,,,,,,
ir,,,,laser,,,,
joystick,,,,,,,,
mouse,,,,,,,,
keyboard,,,,,,,,
mic,microphone,,,smartphone,mobile,laptop,,
mems,,,,,,,,
midi,drumpad,,,,,,,
light,optic,photoresistor,,,,,,
pickup,,,,,,,,
piezo,piezoelectric,piezoresistive,,,,,,
pressure,flow,,,,,,,
rotary encoder,shaft encoder,optical encoder,,,,,,
skin conductance,,,,,,,,
strain gauge,,,,,,,,
ultrasonic,ultrasound,,,,,,,
wacom,,,,,,,,
wii,,,,,,,,
heart rate,,,,,,,,
fingerprint,,,,,,,,
breath controller,,,,,,,,
foot,footswitch,footpedal,,,,,,
dynamo,,,,,,,,
heat,temperature,,,,,,,
proximity,,,,,,,,
metal detector,,,,,,,,
keypad,,,,,,,,
rf,network,antenna,,,,,,
