,2013,2014,2015,2016,2017,TTL,,,,
accelerometer,16,13,8,11,0,48,,,Non-DMI,DMI
gyroscope,6,6,4,4,0,20,,2013,118,63
magnetometer,3,2,4,2,0,11,,2014,148,69
imu,1,6,2,3,0,12,,2015,103,42
bend,4,12,4,10,0,30,,2016,84,31
biosensing,3,0,0,0,0,3,,2017,105,1
button,25,29,9,17,0,80,,Total,558,206
pot,8,15,2,6,0,31,,,,
capacitive,23,35,21,15,0,94,,,,
conductive,9,8,5,4,0,26,,,,
camera,41,35,23,21,1,121,,,,
eeg,5,1,2,0,0,8,,,,
mmg,1,0,1,1,0,3,,,,
emg,2,0,2,1,0,5,,,,
fsr,5,6,0,1,0,12,,,,
gps,4,1,3,2,0,10,,,,
hall,6,7,4,3,0,20,,,,
ir,1,10,2,2,0,15,,,,
joystick,3,3,0,0,0,6,,,,
mouse,9,11,6,4,0,30,,,,
keyboard,19,23,13,16,0,71,,,,
mic,8,18,13,10,0,49,,,,
mems,0,0,0,0,0,0,,,,
midi,24,31,13,17,0,85,,,,
light,21,22,16,13,0,72,,,,
pickup,4,12,5,6,0,27,,,,
piezo,2,13,10,7,0,32,,,,
pressure,32,29,21,17,1,100,,,,
rotary encoder,0,0,0,0,0,0,,,,
skin conductance,0,0,0,0,0,0,,,,
strain gauge,0,0,0,0,0,0,,,,
ultrasonic,3,5,4,2,0,14,,,,
wacom,1,1,1,0,0,3,,,,
wii,4,4,3,0,0,11,,,,
heart rate,0,0,0,0,0,0,,,,
fingerprint,1,0,0,0,0,1,,,,
breath controller,0,0,0,0,0,0,,,,
foot,6,7,3,6,0,22,,,,
dynamo,0,0,0,0,0,0,,,,
heat,1,4,3,2,0,10,,,,
proximity,4,8,7,6,0,25,,,,
metal detector,0,0,0,0,0,0,,,,
keypad,0,1,0,0,0,1,,,,
rf,27,15,9,11,0,62,,,,
